TRANSACTION_ID,ITEM_ID,CONTRACT_ID,SALE_REGISTRATION_DATE,ITEM,LOCALITY,NEIGHBORHOOD,SUBCATEGORY,MERCHANT_NAME,BRANCH_MERCHANT,SELLER_NAME,CANAL_CONSOLIDADO,LINEA_NEGOCIO,NUMBER_OF_INSTALLMENTS,TOTAL_VALUE,CURRENT_STATUS
TRX-295615,ITM-151788,CTR-99962,2025-06-29T17:58:22.000Z,PINTURAS,Municipio_10,Barrio_7,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,Fdv Externa,Materiales de Construccion,8,397.8,ENTREGADO
TRX-622566,ITM-885039,CTR-81024,2025-06-29T17:47:28.000Z,PUERTAS,Municipio_28,Barrio_121,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,Grandes Superficies,Materiales de Construccion,17,313.4,ENTREGADO
TRX-622566,ITM-240983,CTR-81024,2025-06-29T17:47:28.000Z,MATERIALES VARIOS,Municipio_28,Barrio_121,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,Grandes Superficies,Materiales de Construccion,17,2747.8,ENTREGADO
TRX-622566,ITM-534128,CTR-81024,2025-06-29T17:47:28.000Z,PVC,Municipio_28,Barrio_121,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,Grandes Superficies,Materiales de Construccion,17,1146.5,ENTREGADO
TRX-713574,ITM-778034,CTR-45843,2025-06-29T17:41:58.000Z,CELULAR,Municipio_10,Barrio_212,ESTRATO 4,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,37,3499.2,ENTREGADO
TRX-475641,ITM-778034,CTR-91124,2025-06-29T17:32:10.000Z,CELULAR,Municipio_10,Barrio_55,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,Hogar,25,3239.9,ENTREGADO
TRX-113781,ITM-559076,CTR-74187,2025-06-29T17:29:33.000Z,TELEVISOR,Municipio_10,Barrio_63,ESTRATO 3,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,63,1980.0,ENTREGADO
TRX-913065,ITM-118549,CTR-65424,2025-06-29T17:27:29.000Z,LAVADORA,Municipio_10,Barrio_139,ESTRATO 6,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,24,2632.1,ENTREGADO
TRX-206831,ITM-356651,CTR-88211,2025-06-29T17:20:08.000Z,TRANSPORTE,Municipio_43,Barrio_70,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,GRANDES SUPERFICIES,Materiales de Construccion,38,111.1,ENTREGADO
TRX-206831,ITM-632580,CTR-88211,2025-06-29T17:20:08.000Z,COCINAS INTEGRALES,Municipio_43,Barrio_70,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,GRANDES SUPERFICIES,Materiales de Construccion,38,1101.9,ENTREGADO
TRX-206831,ITM-716756,CTR-88211,2025-06-29T17:20:08.000Z,CERAMICA PISOS Y PAREDES,Municipio_43,Barrio_70,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,GRANDES SUPERFICIES,Materiales de Construccion,38,2038.5,ENTREGADO
TRX-860321,ITM-677167,CTR-64422,2025-06-29T17:18:39.000Z,ENSERES MENORES,Municipio_10,Barrio_183,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,4,78.3,ENTREGADO
TRX-860321,ITM-989784,CTR-64422,2025-06-29T17:18:39.000Z,NEVERA,Municipio_10,Barrio_183,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,4,940.7,ENTREGADO
TRX-217214,ITM-749462,CTR-19073,2025-06-29T17:14:30.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_334,ESTRATO 6,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,13,299.0,ENTREGADO
TRX-584096,ITM-989784,CTR-50686,2025-06-29T17:13:14.000Z,NEVERA,Municipio_47,Barrio_10,ESTRATO 6,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,14,2092.7,ENTREGADO
TRX-584096,ITM-749462,CTR-50686,2025-06-29T17:13:14.000Z,OTROS ENSERES MENORES,Municipio_47,Barrio_10,ESTRATO 6,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,14,517.5,ENTREGADO
TRX-584096,ITM-989784,CTR-50686,2025-06-29T17:13:14.000Z,NEVERA,Municipio_47,Barrio_10,ESTRATO 6,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,14,1242.5,ENTREGADO
TRX-586996,ITM-895486,CTR-42221,2025-06-29T17:09:00.000Z,COLCHON SUPRA,Municipio_10,Barrio_452,ESTRATO 5,Aliado_80,Sucursal_292,Vendedor_80,Puntos Fijos Cali,Viajes y Experiencia,17,3091.8,ENTREGADO
TRX-153582,ITM-778034,CTR-94534,2025-06-29T17:08:25.000Z,CELULAR,Municipio_35,Barrio_372,ESTRATO 4,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,12,713.9,ENTREGADO
TRX-153582,ITM-609339,CTR-94534,2025-06-29T17:08:25.000Z,ESTUFA,Municipio_35,Barrio_372,ESTRATO 4,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,12,615.1,ENTREGADO
TRX-952199,ITM-891322,CTR-92200,2025-06-29T17:01:36.000Z,MUEBLES MODULARES,Municipio_10,Barrio_245,ESTRATO 5,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Hogar,1,103.4,ENTREGADO
TRX-952199,ITM-891322,CTR-92200,2025-06-29T17:01:36.000Z,MUEBLES MODULARES,Municipio_10,Barrio_245,ESTRATO 5,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Hogar,1,103.4,ENTREGADO
TRX-787404,ITM-118549,CTR-68094,2025-06-29T16:59:35.000Z,LAVADORA,Municipio_2,Barrio_409,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,1,1738.4,ENTREGADO
TRX-787404,ITM-118549,CTR-68094,2025-06-29T16:59:35.000Z,LAVADORA,Municipio_2,Barrio_409,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,1,1549.7,ENTREGADO
TRX-964601,ITM-559076,CTR-14526,2025-06-29T16:59:29.000Z,TELEVISOR,Municipio_11,Barrio_241,ESTRATO 5,Aliado_23,Sucursal_310,Vendedor_123,Grandes Superficies,Hogar,10,3263.3,ENTREGADO
TRX-884523,ITM-559076,CTR-93747,2025-06-29T16:59:20.000Z,TELEVISOR,Municipio_33,Barrio_351,ESTRATO 4,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Educacion,18,1993.8,ENTREGADO
TRX-310624,ITM-125405,CTR-23579,2025-06-29T16:55:32.000Z,HORNO,Municipio_10,Barrio_435,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,13,91.7,ENTREGADO
TRX-310624,ITM-749462,CTR-23579,2025-06-29T16:55:32.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_435,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,13,439.6,ENTREGADO
TRX-310624,ITM-559076,CTR-23579,2025-06-29T16:55:32.000Z,TELEVISOR,Municipio_10,Barrio_435,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Hogar,13,1700.0,ENTREGADO
TRX-207012,ITM-749462,CTR-35114,2025-06-29T16:49:24.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_227,ESTRATO 6,Aliado_67,Sucursal_310,Vendedor_167,Grandes Superficies,Hogar,23,968.4,ENTREGADO
TRX-341977,ITM-141433,CTR-70805,2025-06-29T16:49:07.000Z,CONSOLA PLAY STATION,Municipio_10,Barrio_187,ESTRATO 6,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,61,3563.9,ENTREGADO
TRX-341977,ITM-749462,CTR-70805,2025-06-29T16:49:07.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_187,ESTRATO 6,Aliado_84,Sucursal_303,Vendedor_84,Grandes Superficies,Educacion,61,626.3,ENTREGADO
TRX-929577,ITM-380079,CTR-40905,2025-06-29T16:38:41.000Z,GARANTIA EXTENDIDA ELECTRODOMESTICOS,Municipio_6,Barrio_291,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,9,84.9,ENTREGADO
TRX-929577,ITM-118549,CTR-40905,2025-06-29T16:38:41.000Z,LAVADORA,Municipio_6,Barrio_291,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,9,848.5,ENTREGADO
TRX-524975,ITM-559076,CTR-54935,2025-06-29T16:35:09.000Z,TELEVISOR,Municipio_10,Barrio_296,ESTRATO 5,Aliado_84,Sucursal_265,Vendedor_84,Grandes Superficies,Educacion,24,770.3,ENTREGADO
TRX-636895,ITM-749462,CTR-91136,2025-06-29T16:34:51.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_120,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,HOGAR,35,307.8,ENTREGADO
TRX-636895,ITM-171078,CTR-91136,2025-06-29T16:34:51.000Z,COMPUTADOR,Municipio_10,Barrio_120,ESTRATO 5,Aliado_84,Sucursal_374,Vendedor_84,Grandes Superficies,HOGAR,35,1524.5,ENTREGADO
TRX-464470,ITM-749462,CTR-61390,2025-06-29T16:33:43.000Z,OTROS ENSERES MENORES,Municipio_22,Barrio_419,ESTRATO 6,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,9,112.8,ENTREGADO
TRX-464470,ITM-778034,CTR-61390,2025-06-29T16:33:43.000Z,CELULAR,Municipio_22,Barrio_419,ESTRATO 6,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,9,3428.0,ENTREGADO
TRX-464470,ITM-778034,CTR-61390,2025-06-29T16:33:43.000Z,CELULAR,Municipio_22,Barrio_419,ESTRATO 6,Aliado_84,Sucursal_374,Vendedor_84,Fdv Externa,Viajes y Experiencia,9,451.1,ENTREGADO
TRX-117498,ITM-118549,CTR-12332,2025-06-29T16:32:28.000Z,LAVADORA,Municipio_15,Barrio_496,ESTRATO 5,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Educacion,10,2061.0,ENTREGADO
TRX-548959,ITM-957268,CTR-62302,2025-06-29T16:32:13.000Z,MDC - VENTA PAP,Municipio_22,Barrio_419,ESTRATO 6,Aliado_143,Sucursal_43,Vendedor_208,Puntos Fijos Cali,Materiales de Construcción,35,487.7,ENTREGADO
TRX-548959,ITM-159139,CTR-62302,2025-06-29T16:32:13.000Z,SOAT,Municipio_22,Barrio_419,ESTRATO 6,Aliado_6,Sucursal_310,Vendedor_208,Puntos Fijos Cali,Materiales de Construcción,35,7783.9,ENTREGADO
TRX-883759,ITM-151788,CTR-90061,2025-06-29T16:27:05.000Z,PINTURAS,Municipio_10,Barrio_183,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,Grandes Superficies,Materiales de Construccion,22,425.1,ENTREGADO
TRX-883759,ITM-926911,CTR-90061,2025-06-29T16:27:05.000Z,ESTUCO,Municipio_10,Barrio_183,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,Grandes Superficies,Materiales de Construccion,22,446.4,ENTREGADO
TRX-883759,ITM-240983,CTR-90061,2025-06-29T16:27:05.000Z,MATERIALES VARIOS,Municipio_10,Barrio_183,ESTRATO 5,Aliado_67,Sucursal_310,Vendedor_167,Grandes Superficies,Materiales de Construccion,22,418.0,ENTREGADO
TRX-371931,ITM-749462,CTR-73411,2025-06-29T16:22:20.000Z,OTROS ENSERES MENORES,Municipio_10,Barrio_234,ESTRATO 4,Aliado_152,Sucursal_310,Vendedor_152,Fdv Externa,Viajes y Experiencia,2,1429.9,ENTREGADO
TRX-638131,ITM-634962,CTR-10890,2025-06-29T16:19:26.000Z,AIRE ACONDICIONADO,Municipio_10,Barrio_149,ESTRATO 6,Aliado_23,Sucursal_310,Vendedor_123,Grandes Superficies,Hogar,35,646.1,ENTREGADO
TRX-501966,ITM-142475,CTR-46016,2025-06-29T16:19:13.000Z,SIN IVA,Municipio_9,Barrio_492,ESTRATO 4,Aliado_152,Sucursal_310,Vendedor_152,Grandes Superficies,Movilidad,51,594.5,ENTREGADO
